Division,year,Max temp,Min temp,Max Wind Speed,Min wind speed,Precipitation Corrected Sum,All Sky Surface Total PAR,Root Zone Soil Wetness,Surface Soil Wetness,Humidity,Earth Skin Temp,Dengu_national_cases,Dengu_national_deaths,Dengu_national_cfr_pct
Chittagong,2000,37.34,9.7,1.35,0.02,124.72,8.63,0.4325,0.4,9.1675,21.8,5551,93,1.675
Chittagong,2001,39.05,6.85,1.37,0.03,75.77,8.39,0.415,0.3575,8.28,21.95,2430,44,1.811
Chittagong,2002,37.55,8.65,1.36,0.01,92.99,8.2325,0.415,0.36,8.92,22.63,6232,58,0.931
Chittagong,2003,38.4,8.92,1.23,0,104.9,8.345,0.42,0.385,9.4225,22.08,486,10,2.058
Chittagong,2004,37.1,8.24,1.35,0,96,7.8375,0.4075,0.335,9.59,22.2425,3434,14,0.408
Chittagong,2005,37.14,9.38,1.24,0.02,136.37,8.095,0.425,0.3875,10.215,22.6825,1048,4,0.382
Chittagong,2006,37.56,10.91,1.26,0.01,58.07,8.4575,0.4075,0.33,9.28,23.275,2200,11,0.5
Chittagong,2007,35.69,9.36,1.38,0.03,236.79,8.03,0.445,0.43,9.3075,21.2,466,0,0
Chittagong,2008,39.2,7.27,1.23,0.01,58.16,8.04,0.4725,0.4525,9.95,21.5075,1153,0,0
Chittagong,2009,37.92,10.46,1.25,0.01,130.03,8.29,0.44,0.415,9.78,22.565,474,0,0
Chittagong,2010,38.47,9.19,1.26,0.01,119.35,8.215,0.4425,0.4275,10.2075,22.3725,409,0,0
Chittagong,2011,36.62,8.21,1.31,0.01,129.02,8.08,0.47,0.46,9.935,21.5325,1359,6,0.442
Chittagong,2012,36.86,7.53,1.31,0,263.32,7.815,0.44,0.41,9.52,21.8425,671,1,0.149
Chittagong,2013,37.29,7.62,1.35,0.01,70.74,8.335,0.4125,0.3525,9.19,22.42,1749,2,0.114
Chittagong,2014,39.67,10.47,1.31,0.01,55.59,8.4275,0.435,0.405,9.4,22.3925,375,0,0
Chittagong,2015,35.42,10.1,1.38,0.01,269.85,7.8125,0.455,0.4425,10.2975,21.98,3162,6,0.19
Chittagong,2016,36.3,7.97,1.22,0.01,191.61,7.355,0.47,0.4675,11.6725,22.505,6060,14,0.231
Chittagong,2017,33.57,9.12,1.22,0.02,720.76,7.9075,0.56,0.59,11.7875,21.245,2769,8,0.289
Chittagong,2018,36.02,5.83,1.26,0.01,343.69,7.8775,0.5275,0.55,11.3025,21.1,10148,26,0.256
Chittagong,2019,37.48,9.79,1.29,0.01,206.24,8.3125,0.48,0.48,10.1925,21.6425,101354,179,0.177
Chittagong,2020,36.24,8.21,1.22,0.01,326.79,7.7875,0.5325,0.555,10.59,20.755,1193,3,0.251
Chittagong,2021,37.63,7.3,1.26,0.01,67.28,8.3075,0.475,0.4625,9.86,22.0175,28429,105,0.369
Chittagong,2022,37.84,7.57,1.25,0.01,112.75,8.055,0.49,0.4925,10.3425,21.3525,61732,281,0.455
Chittagong,2023,37.5,9.39,1.28,0.01,222.29,8.07,0.4725,0.46,9.9825,21.9575,321179,1705,0.531
Chittagong,2024,38.17,7.71,1.25,0.01,173.61,7.695,0.4725,0.47,10.305,21.845,101214,575,0.568
Sylhet,2000,38.28,7.69,4.8,0.06,364.09,8.1825,0.495,0.475,9.725,22.09,5551,93,1.675
Sylhet,2001,41.1,6.24,4.65,0.07,255.23,8.0325,0.5,0.48,9.12,22.07,2430,44,1.811
Sylhet,2002,36.94,7.38,3.79,0.05,382.1,7.9325,0.515,0.5,10.0475,22.54,6232,58,0.931
Sylhet,2003,36.36,6.78,3.68,0.08,392.68,7.7025,0.56,0.5575,10.9325,21.49,486,10,2.058
Sylhet,2004,39.52,6.16,4.97,0.05,461.87,7.4675,0.5275,0.5225,10.935,22.275,3434,14,0.408
Sylhet,2005,35.87,8.28,5.26,0.04,420.59,7.565,0.5375,0.5325,11.5075,22.63,1048,4,0.382
Sylhet,2006,38.57,8.31,3.95,0.06,279.74,7.8775,0.5125,0.4925,10.5525,23.115,2200,11,0.5
Sylhet,2007,38.65,7.11,4.24,0.04,463.88,7.615,0.4875,0.475,10.0075,22.105,466,0,0
Sylhet,2008,39.12,6.78,3.69,0.01,227.22,7.7875,0.535,0.525,10.61,22.0675,1153,0,0
Sylhet,2009,37.92,9.2,4.39,0.09,256.1,7.9825,0.455,0.4325,10.125,23.7775,474,0,0
Sylhet,2010,38.23,8.16,4.91,0.06,469.7,7.7275,0.5025,0.4925,11.06,23.09,409,0,0
Sylhet,2011,37.27,6.96,5.89,0.06,152.22,7.7375,0.51,0.4975,10.345,22.4275,1359,6,0.442
Sylhet,2012,38.74,7.86,4.04,0.03,438.68,7.6075,0.4525,0.4375,9.9075,22.7975,671,1,0.149
Sylhet,2013,40.09,4.22,4.67,0.08,178.47,7.9925,0.4775,0.4575,9.935,23.1375,1749,2,0.114
Sylhet,2014,41.62,9.71,4.37,0.01,170.63,7.995,0.4825,0.4625,10.04,23.5925,375,0,0
Sylhet,2015,37.05,8.88,4.43,0.04,495.29,7.47,0.5225,0.515,11.0525,22.995,3162,6,0.19
Sylhet,2016,36.58,7.52,4.49,0.06,730.49,7.09,0.575,0.575,12.565,23.27,6060,14,0.231
Sylhet,2017,32.39,8.17,4.79,0.07,1329.14,7.3675,0.6775,0.6925,12.4525,21.715,2769,8,0.289
Sylhet,2018,33.66,6.21,3.97,0.03,616.17,7.43,0.6825,0.7075,12.315,21.3125,10148,26,0.256
Sylhet,2019,37.22,8.59,3.48,0.05,375.2,7.855,0.54,0.53,10.95,22.235,101354,179,0.177
Sylhet,2020,37.9,8.08,4.54,0.03,406.56,7.5625,0.59,0.6025,10.9225,21.54,1193,3,0.251
Sylhet,2021,38.17,7.15,3.87,0.02,270.31,7.8725,0.5675,0.565,10.9025,22.3225,28429,105,0.369
Sylhet,2022,36.89,8.06,4.54,0.01,440.12,7.4625,0.58,0.5875,11.45,21.8575,61732,281,0.455
Sylhet,2023,37.53,7.31,3.87,0.02,365.49,7.5375,0.55,0.5475,10.9375,22.155,321179,1705,0.531
Sylhet,2024,38.52,7.59,4.7,0.04,387.02,7.13,0.5925,0.6025,11.3475,21.635,101214,575,0.568
Barishal,2000,36.57,10.23,6.28,0.09,170.46,8.8875,0.475,0.435,12.1,23.91,5551,93,1.675
Barishal,2001,39.79,9.85,6.88,0.04,59.06,8.2775,0.45,0.3975,11.2825,24.39,2430,44,1.811
Barishal,2002,36.04,10.98,5.97,0.04,130.17,8.11,0.5075,0.475,11.8925,23.9525,6232,58,0.931
Barishal,2003,36.46,9.67,5.69,0.04,184.32,8.0375,0.4825,0.44,12.225,24.015,486,10,2.058
Barishal,2004,36.57,10.04,7.95,0.09,95.92,7.735,0.475,0.4325,12.48,24.0925,3434,14,0.408
Barishal,2005,36.76,10.96,6.27,0.09,144.93,8.115,0.455,0.4075,12.73,24.945,1048,4,0.382
Barishal,2006,38.12,10.18,5.91,0.08,56.54,8.1475,0.475,0.4325,12.49,25.105,2200,11,0.5
Barishal,2007,36.66,10.63,5.71,0.05,170.25,7.9225,0.465,0.43,11.7375,24.0275,466,0,0
Barishal,2008,39.85,10.06,5.42,0.01,77.36,7.86,0.52,0.485,12.425,23.965,1153,0,0
Barishal,2009,37.92,11.67,6.12,0.05,156.66,7.8375,0.515,0.4825,12.8675,24.7,474,0,0
Barishal,2010,37.95,10.74,7.94,0.1,56.33,7.785,0.45,0.395,12.5225,24.9425,409,0,0
Barishal,2011,36.66,9.49,7.05,0.04,134.18,7.8,0.5025,0.47,11.99,23.885,1359,6,0.442
Barishal,2012,37.04,10.32,6.21,0.01,197.75,7.6675,0.4475,0.395,12.0825,24.8375,671,1,0.149
Barishal,2013,39.02,7.28,6.2,0.02,57.82,7.925,0.44,0.37,11.21,24.525,1749,2,0.114
Barishal,2014,40.93,9.79,6.08,0.04,40.11,7.9525,0.465,0.405,11.68,24.82,375,0,0
Barishal,2015,36.26,11.11,5.92,0.1,232.45,7.68,0.465,0.43,11.94,24.455,3162,6,0.19
Barishal,2016,37.65,10.73,7.49,0.04,168.28,6.92,0.495,0.4625,13.8375,25.26,6060,14,0.231
Barishal,2017,32.74,8.91,6.52,0.04,777.17,7.6375,0.6475,0.645,13.4175,22.895,2769,8,0.289
Barishal,2018,34.66,8.83,5.55,0.04,324.88,7.5375,0.6075,0.5975,13.0575,23.0875,10148,26,0.256
Barishal,2019,36.49,10.97,5.9,0.06,363.95,8.045,0.545,0.5325,12.675,23.3925,101354,179,0.177
Barishal,2020,35.37,10.53,5.35,0.12,491.45,7.4275,0.665,0.6575,12.55,22.4925,1193,3,0.251
Barishal,2021,38.74,10.41,6.83,0.1,49.01,7.6325,0.535,0.5,12.5775,24.39,28429,105,0.369
Barishal,2022,37.02,10.33,6.37,0.07,144.37,7.6825,0.585,0.565,12.9,23.2975,61732,281,0.455
Barishal,2023,37.22,10.83,5.02,0.01,208.07,7.2,0.545,0.53,12.8725,23.94,321179,1705,0.531
Barishal,2024,39.49,9.88,6.66,0.02,153.18,7.01,0.605,0.59,13.1125,23.57,101214,575,0.568
Khulna,2000,42.74,7.22,5.67,0.11,138.08,9.025,0.505,0.4025,9.795,25.22,5551,93,1.675
Khulna,2001,42.93,7.1,6.42,0.07,63.55,8.245,0.5025,0.37,8.6875,24.9875,2430,44,1.811
Khulna,2002,42.31,7.12,6.15,0.11,103.64,8.27,0.51,0.415,9.885,25.5975,6232,58,0.931
Khulna,2003,42.13,6.39,5.33,0.01,154.6,8.0975,0.5025,0.405,10.1975,25.1875,486,10,2.058
Khulna,2004,44.13,7.38,7.18,0.04,90.74,7.945,0.4925,0.3625,10.1075,25.85,3434,14,0.408
Khulna,2005,42.89,9.16,5.27,0.03,109.37,8.1525,0.5025,0.395,10.6575,26.3075,1048,4,0.382
Khulna,2006,42.17,7.07,5.04,0.02,58.46,8.1475,0.4975,0.3625,9.6325,26.3325,2200,11,0.5
Khulna,2007,42.21,8.54,5.99,0.04,102.56,8.005,0.49,0.37,9.3875,25.325,466,0,0
Khulna,2008,42.8,7.27,5.68,0.08,117.03,7.92,0.555,0.495,10.4025,24.16,1153,0,0
Khulna,2009,43.08,9.08,5.32,0.06,79.36,7.9725,0.515,0.4075,9.52,25.91,474,0,0
Khulna,2010,44.57,7.56,6.66,0.15,74.73,7.975,0.495,0.3525,10.065,26.095,409,0,0
Khulna,2011,41.06,5.61,6.23,0.06,99.79,7.945,0.5275,0.4425,10.0025,24.7275,1359,6,0.442
Khulna,2012,41.28,7.58,5.6,0.14,140.46,7.7975,0.505,0.3925,9.7075,25.555,671,1,0.149
Khulna,2013,42.84,3.42,6.07,0.03,63.92,7.985,0.4925,0.3575,8.7875,25.315,1749,2,0.114
Khulna,2014,44.61,7.57,5.5,0.13,44.08,8.0325,0.5175,0.3875,9.2775,25.6325,375,0,0
Khulna,2015,39.08,7.92,5.64,0.01,222.09,7.7525,0.515,0.4425,10.3625,24.9075,3162,6,0.19
Khulna,2016,43.86,8.34,6.44,0.05,130.28,7.0925,0.505,0.405,11.1525,26.83,6060,14,0.231
Khulna,2017,39.69,5.42,5.66,0.13,308.07,7.72,0.5625,0.505,11.14,24.405,2769,8,0.289
Khulna,2018,38.57,5.52,4.47,0.04,264.27,7.6175,0.6125,0.5675,10.855,23.13,10148,26,0.256
Khulna,2019,42.76,8.41,5.92,0.02,222.47,8.0175,0.5275,0.4475,10.4725,24.975,101354,179,0.177
Khulna,2020,40.96,7.18,4.84,0.02,400.15,7.535,0.6575,0.64,11.1025,22.5375,1193,3,0.251
Khulna,2021,43.68,7.46,4.8,0.06,27.8,7.5775,0.5325,0.4,9.56,25.845,28429,105,0.369
Khulna,2022,43.88,7.52,5.42,0.03,132.93,7.635,0.6175,0.5625,11.4525,24.1375,61732,281,0.455
Khulna,2023,42.56,8.09,4.39,0.04,221.12,7.0825,0.5475,0.465,10.3775,24.96,321179,1705,0.531
Khulna,2024,47.14,7.69,5.15,0.03,152.62,6.9775,0.5825,0.53,10.585,24.54,101214,575,0.568
Rajshahi,2000,43.17,5.08,5.35,0.09,158.19,8.59,0.4675,0.42,8.0625,23.26,5551,93,1.675
Rajshahi,2001,44.71,5.35,5.64,0.04,54.07,7.4775,0.445,0.365,6.755,23.3925,2430,44,1.811
Rajshahi,2002,41.26,6.87,4.91,0.05,154.66,7.5275,0.46,0.4125,8.805,24.22,6232,58,0.931
Rajshahi,2003,41.96,5.3,5.67,0.08,143.65,7.3225,0.4675,0.4375,9.19,23.3275,486,10,2.058
Rajshahi,2004,44.15,6.88,5.69,0.03,140.22,7.425,0.4475,0.39,9.0575,24.3725,3434,14,0.408
Rajshahi,2005,41.67,8.09,6.37,0.04,96.32,7.295,0.48,0.44,9.51,24.465,1048,4,0.382
Rajshahi,2006,42.68,6.55,6.16,0.03,80.77,7.4275,0.505,0.475,9.0275,23.67,2200,11,0.5
Rajshahi,2007,42.24,7.64,5.6,0.07,87.99,7.1925,0.43,0.3625,8.4275,24.22,466,0,0
Rajshahi,2008,42.49,6.7,5.95,0.02,73.59,7.1025,0.49,0.4475,8.71,23.1125,1153,0,0
Rajshahi,2009,42.72,8.17,5.47,0.06,70.57,7.4875,0.4375,0.355,7.725,24.9025,474,0,0
Rajshahi,2010,44.93,6.34,5.35,0.05,48.91,7.56,0.4575,0.3775,8.3,24.5725,409,0,0
Rajshahi,2011,40.39,5.69,6.37,0.08,109.84,7.185,0.4375,0.3725,8.3825,24.01,1359,6,0.442
Rajshahi,2012,42.39,6.54,6.11,0.08,98.52,7.4775,0.4425,0.3725,8.1,24.28,671,1,0.149
Rajshahi,2013,43.39,2.32,6.85,0.02,82.55,7.4675,0.435,0.3475,7.1375,23.9425,1749,2,0.114
Rajshahi,2014,43.88,6.48,6.52,0.1,61.18,7.365,0.4625,0.395,7.845,24.2375,375,0,0
Rajshahi,2015,39.15,6.46,5.18,0.04,194.76,6.8725,0.4525,0.4025,9.315,24.4625,3162,6,0.19
Rajshahi,2016,44.26,6.79,6,0.03,126.79,6.71,0.45,0.3875,8.865,25.6175,6060,14,0.231
Rajshahi,2017,40.8,4.92,4.73,0.04,252.8,6.98,0.4875,0.4625,9.78,23.825,2769,8,0.289
Rajshahi,2018,37.57,5.14,4.37,0.08,306.07,7.1425,0.56,0.5625,9.94,21.8425,10148,26,0.256
Rajshahi,2019,43.82,7.52,6.53,0.05,106.33,7.375,0.4325,0.3775,8.7225,24.8075,101354,179,0.177
Rajshahi,2020,39.26,6.21,5.73,0.03,225.56,6.8375,0.585,0.5825,10.03,21.5925,1193,3,0.251
Rajshahi,2021,42.08,6.41,5.11,0.07,39.84,7,0.495,0.4425,8.325,24.0175,28429,105,0.369
Rajshahi,2022,42.83,7.51,5.55,0.09,126.32,7.01,0.535,0.5175,10.4325,23.5425,61732,281,0.455
Rajshahi,2023,44.34,7.34,4.98,0.06,144.64,6.8075,0.46,0.41,8.53,24.1625,321179,1705,0.531
Rajshahi,2024,46.42,6.34,6.82,0.04,150.31,6.525,0.53,0.5,8.7225,22.9775,101214,575,0.568
Rangpur,2000,41.38,6.43,6.55,0.02,162.25,8.7475,0.4425,0.4075,7.0275,21.335,5551,93,1.675
Rangpur,2001,41.69,5.99,6.46,0.04,80.08,7.6025,0.3575,0.2625,5.8275,22.8275,2430,44,1.811
Rangpur,2002,38.42,6.99,5.5,0.01,228.95,7.5075,0.4525,0.4275,8.48,22.3575,6232,58,0.931
Rangpur,2003,40.7,6.38,8.36,0.04,149.86,7.0625,0.43,0.4025,8.2675,22.0975,486,10,2.058
Rangpur,2004,42.19,7.2,7.94,0.01,138,7,0.4425,0.4175,8.84,22.59,3434,14,0.408
Rangpur,2005,39.27,7.89,9.12,0.01,101.37,7.34,0.44,0.41,8.7575,23.2925,1048,4,0.382
Rangpur,2006,41.42,6.62,8.69,0.01,68.18,7.3325,0.4525,0.4225,8.205,22.6775,2200,11,0.5
Rangpur,2007,40.27,6.01,6.86,0.01,77.48,7.2075,0.415,0.37,8.065,22.64,466,0,0
Rangpur,2008,40.73,6.29,7.09,0.02,103.07,7.3025,0.4275,0.3925,7.905,22.3475,1153,0,0
Rangpur,2009,41.41,9.94,7.4,0.08,86.8,7.57,0.4125,0.3625,7.6475,23.325,474,0,0
Rangpur,2010,42.7,6.75,7.53,0.01,64.4,7.465,0.4075,0.3425,7.42,23.4575,409,0,0
Rangpur,2011,38.71,6.19,6.9,0.01,84.74,7.205,0.43,0.395,7.9575,22.155,1359,6,0.442
Rangpur,2012,40.99,5.6,7.72,0.02,125.72,7.595,0.4175,0.37,7.3025,22.3825,671,1,0.149
Rangpur,2013,43.13,1.67,8.41,0.01,107.85,7.6125,0.3975,0.3225,6.515,23.175,1749,2,0.114
Rangpur,2014,43.55,7.38,7.98,0.05,37.26,7.4475,0.44,0.38,7.0975,22.9675,375,0,0
Rangpur,2015,39.36,6.74,7.68,0.05,170.1,6.8525,0.4125,0.375,8.635,23.9525,3162,6,0.19
Rangpur,2016,43.8,7.03,9.13,0.04,101.57,6.9475,0.3975,0.34,7.285,24.745,6060,14,0.231
Rangpur,2017,39.85,6.16,6.8,0.06,299.29,6.96,0.4675,0.4475,9.2525,22.7725,2769,8,0.289
Rangpur,2018,36.98,5.52,6.89,0.05,252.98,6.96,0.4675,0.4475,8.85,21.9925,10148,26,0.256
Rangpur,2019,39.46,7.81,7.26,0.05,153.91,7.4675,0.4075,0.375,8.4175,23.28,101354,179,0.177
Rangpur,2020,37.32,6.42,6.6,0.04,336.69,7.055,0.5175,0.505,9.4175,21.005,1193,3,0.251
Rangpur,2021,40.66,7.74,7.99,0.02,105.24,7.07,0.4425,0.41,7.705,22.655,28429,105,0.369
Rangpur,2022,38.63,7.09,7.48,0.01,274.87,6.6625,0.545,0.545,10.465,21.62,61732,281,0.455
Rangpur,2023,41.82,6.98,6.13,0.02,166.44,7.0175,0.46,0.4325,8.5725,22.69,321179,1705,0.531
Rangpur,2024,44.64,6.51,8.11,0.04,126.96,6.775,0.465,0.4375,7.895,22.025,101214,575,0.568